Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-12-03 19:34:22,false,"Latina - 5x1km TR rec 2'","5.41","383","00:29:18","160","188","3.1","154","206","5:25","3:24","14","11","1.17","6.1","7.6","264","50.1% S / 49.9% D","0.0","4,346","14.0","No","00:00:02.1","11","17.0","00:22:41","00:29:18","23","31"
Corsa,2025-12-01 18:59:44,false,"Latina - 6x[0.85L 0.15All","6.01","382","00:27:24","163","179","3.2","174","191","4:34","3:47","7","3","1.25","7.8","10.0","256","49.6% S / 50.4% D","0.0","4,706","17.0","No","00:00:01.5","13","22.0","00:27:19","00:27:24","21","26"
Corsa,2025-11-29 11:05:02,false,"Latina - 16 km L","16.01","1,062","01:18:32","160","178","3.7","175","186","4:54","3:46","33","32","1.16","8.1","9.6","254","49.8% S / 50.2% D","0.0","13,580","18.0","No","00:00:01.3","17","26.0","01:18:25","01:18:32","17","34"
Corsa,2025-11-28 12:17:46,false,"Latina - 6L 2M","8.00","537","00:37:06","165","181","3.6","177","184","4:38","3:49","13","11","1.22","7.6","9.5","251","50.2% S / 49.8% D","0.0","6,496","20.0","No","00:00:00.9","9","26.0","00:37:02","00:37:06","17","29"
Corsa,2025-11-26 19:00:03,false,"Latina - 5x1km TR rec 1'3","5.32","391","00:27:04","168","188","3.3","160","240","5:05","3:32","19","19","1.19","6.1","7.8","262","51.0% S / 49.0% D","0.0","4,176","15.0","No","00:00:01.7","11","18.0","00:22:31","00:27:04","48","56"
Corsa,2025-11-24 18:12:47,false,"Latina - 9 km D.A.","9.01","592","00:40:45","167","183","3.8","177","213","4:31","2:58","23","25","1.25","7.6","9.8","250","50.1% S / 49.9% D","0.0","7,072","19.0","No","00:00:07.1","19","25.0","00:40:35","00:40:45","4","24"
Corsa,2025-11-22 12:39:44,false,"Latina - 13 km L","13.01","862","01:06:16","154","163","3.2","175","182","5:06","3:50","28","26","1.12","7.9","9.1","259","50.1% S / 49.9% D","0.0","11,458","17.0","No","00:00:01.3","14","24.0","01:06:15","01:06:16","18","35"
Corsa,2025-11-21 12:33:42,false,"Latina - Test 5 km","5.01","293","00:19:40","170","182","3.1","186","194","3:56","3:31","9","7","1.38","6.1","8.7","229","50.0% S / 50.0% D","0.0","3,612","19.0","No","00:00:01.3","6","24.0","00:19:36","00:19:40","16","24"
Corsa,2025-11-19 18:34:26,false,"Latina - 30' L","5.36","358","00:25:50","157","176","3.1","173","194","4:49","3:05","7","5","1.19","8.2","10.0","258","49.6% S / 50.4% D","0.0","4,410","17.0","No","00:01:36.9","6","23.0","00:25:46","00:25:50","21","25"
Corsa,2025-11-17 18:21:06,false,"Latina - 8 km D.A.","8.00","519","00:36:09","165","179","3.6","177","191","4:31","3:32","12","12","1.25","7.6","9.8","253","49.5% S / 50.5% D","0.0","6,286","20.0","No","00:00:01.5","17","24.0","00:36:04","00:36:09","13","24"
